District,Name,Server,Comments,,,,,,
GAN,RicohAficioC4501.Estimation,\\GANQCTROFSV01,RicohAficioC4501.Estimation,,,,,,
GAN,RicohAficioMp201.Magasin,\\GANQCTROFSV01,10.32.16.66,,,,,,
GAN,RicohAficioMp201.Reception,\\GANQCTROFSV01,RicohAficioMp201.Reception,,,,,,
GAN,RicohAficioW2200.Estimation,\\GANQCTROFSV01,2eme ‚tage,,,,,,
SCD,CantonShopHP476nw,\\SCDTXFTWFSV01,CantonShopHP476nw,,,,,,
SCD,EST5100S,\\SCDTXFTWFSV01,Proposal,,,,,,
SCD,HP1200_Plotter_2499_BuddyHopkins_Trailer,\\SCDTXFTWFSV01,Serial Number: SG9A519009 ; Service ID: 02012 ; HP Designjet T1200 ; Port 19 on SCDTXFTWIFOSWD01,,,,,,
SCD,HP4000_Plotter_2499_TexasStar_Trailer,\\SCDTXFTWFSV01,Serial Number: SG8AJR900D ; Service ID: 19127 ; HP Designjet 4000ps ;  Port 4 on SCDTXIFOSWP01,,,,,,
SCD,Loop375ShopHP200,\\SCDTXFTWFSV01,Loop375ShopHP200,,,,,,
SCD,Ricoh4000_2499_BuddyHopkins_Trailer,\\SCDTXFTWFSV01,Serial Number:  V1304900221 ; Serial Tag: 12094008; Ricoh Aficio MP c4000 ; Port 11 on SCDTXFTWIFOSWD01,,,,,,
SCD,Ricoh5000_2499_TexasStar_Trailer,\\SCDTXFTWFSV01,Serial Number: V1305000825; Serial Tag: 12095002; Ricoh Aficio MP c5000 ; Port 3 on SCDTXIFOSWP01,,,,,,
KBM,52PCanon5050,\\KBMWA52PFSV01,52P Canon IR5050,,,,,,
KBM,52PDesignJet4500,\\KBMWA52PFSV01,Postscript,,,,,,
KBM,52PMaintenance,\\KBMWA52PFSV01,52P Maintenance,,,,,,
KBM,52PRicohC5501A,\\KBMWA52PFSV01,52P Ricoh C5501A,,,,,,
KBM,KBMWA52P-DESIGNJET-1055CM,\\KBMWA52PFSV01,KBMWA52P-DESIGNJET-1055CM,,,,,,
KBM,KBMWA52P-HPLJP3015 V2 Payroll,\\KBMWA52PFSV01,KBMWA52P 520 Pontoons Business Office,,,,,,
KBM,KBMWA52P-RicohC2051-MaintenanceShed,\\KBMWA52PFSV01,KBMWA52P-RicohC2051-MaintenanceShed PCL 5c,,,,,,
KBM,KBMWA52P-RicohC4500 Float Out Trailer,\\KBMWA52PFSV01,KBMWA52P-RicohC4500 Float Out Trailer,,,,,,
KBM,KBMWA52P-RicohC6501-Engineer,\\KBMWA52PFSV01,KBMWA52P-RicohC6501-Engineer 10.116.112.111,,,,,,
TUS,TUSTXEWTPTR01,\\TUSTXEWTFSV01,RICOH Aficio MP C4501 PCL 6,,,,,,
TUS,TUSTXEWTPTR02,\\TUSTXEWTFSV01,Dell 2330dn Laser Printer XL,,,,,,
TUS,TUSTXEWTPTR03,\\TUSTXEWTFSV01,HP Designjet 500 24in,,,,,,
TUS,TUSTXEWTPTR04,\\TUSTXEWTFSV01,Dell 7330dn PCL6 - 10.216.149.134,,,,,,
TUS,TUSTXEWTPTR05,\\TUSTXEWTFSV01,TUSTXEWTPTR05,,,,,,
NOC,NOCCAFSFPTR01  Print,\\NOCCAFSFFSV01,10.132.33.141,,,,,,
NOC,NOCCAFSFPTR02  Print,\\NOCCAFSFFSV01,KONICA MINOLTA Universal PCL - 10.132.33.199,,,,,,
NOC,NOCCAFSFPTR03  Print,\\NOCCAFSFFSV01,KONICA MINOLTA Universal PCL - 10.132.33.201,,,,,,
NOC,NOCCAFSFPTR04  Print,\\NOCCAFSFFSV01,HP LaserJet P3011/P3015 PCL6 - 10.132.33.131,,,,,,
NOC,NOCCAFSFPTR05  Print,\\NOCCAFSFFSV01,10.132.34.136,,,,,,
NOC,NOCCAFSFPTR06  Print,\\NOCCAFSFFSV01,10.132.34.50,,,,,,
NOC,NOCCAFSFPWF01  Print,\\NOCCAFSFFSV01,HP DesignJet 1055CM by HP,,,,,,
KBM,EQUIPMENT-IR3570,\\KBMWASEAFSV01,EQUIPMENT-IR3570,,,,,,
KBM,EQUIPMENT-IR3570-PS,\\KBMWASEAFSV01,KBMWASEA,,,,,,
KBM,KBMWASEA-Equipment-Ricoh-MPC4501,\\KBMWASEAFSV01,KBMWASEAFSV01,,,,,,
KBM,KBMWASEA-HPP3015-CHECK,\\KBMWASEAFSV01,KBMWASEA,,,,,,
KBM,KBMWASEA-PLOTTER5500,\\KBMWASEAFSV01,10.113.114.22,,,,,,
KBM,KBMWASEA-Ricoh#2,\\KBMWASEAFSV01,KBMWASEA Ricoh MPC4501,,,,,,
KBM,MARINE-HP3027,\\KBMWASEAFSV01,KBMWASEA Marine trailer: HP LaserJet M3027 (B&W + Fax),,,,,,
KBM,MARINE-HP4050,\\KBMWASEAFSV01,Marine trailer: HP 4050 (B&W),,,,,,
TUS,HP Designjet T2300ps PS3,\\TUSCABAKFSV01,TUSCABAKPTR08,,,,,,
TUS,TUSCABAKPTR06,\\TUSCABAKFSV01,TUSCABAKPTR06,,,,,,
TUS,TUSCABAKPTR16,\\TUSCABAKFSV01,Serial Number: V1205400971,,,,,,
TUS,TWECABAKPMF01,\\TUSCABAKFSV01,TWECABAKPMF01,,,,,,
TUS,TWECABAKPMF04,\\TUSCABAKFSV01,TWECABAKPMF04,,,,,,
TUS,TWECABAKPMF05,\\TUSCABAKFSV01,TWECABAKPMF05,,,,,,
TUS,TWECABAKPMF07,\\TUSCABAKFSV01,TWECABAKPMF07,,,,,,
TUS,TWECABAKPMF14,\\TUSCABAKFSV01,TWECABAKPMF14,,,,,,
KBM,ADMIN,\\KBMHIWAIFSV01,Ricoh MP2851 PCL 6,,,,,,
KBM,Basement RICOH MP 2851 PCL 6,\\KBMHIWAIFSV01,Basement  Ricoh MP2851,,,,,,
KBM,HP LaserJet P3015 CHECK PRINTER,\\KBMHIWAIFSV01,HP LaserJet P3015 CHECK PRINTER,,,,,,
KBM,Ricoh MP 3001  Civil,\\KBMHIWAIFSV01,Civil,,,,,,
KBM,RICOH_EXECUTIVE,\\KBMHIWAIFSV01,RICOH Aficio MP C3001 EXECUTIVE,,,,,,
KBM,RICOH_SHAFT_GROUP,\\KBMHIWAIFSV01,RICOH Aficio MP C2800 SHAFT GROUP,,,,,,
KBM,RICOH_STRUCTURES,\\KBMHIWAIFSV01,RICOH Aficio MP C5000 STRUCTURES,,,,,,
KBM,RICOH_WOFH_1ST_FLOOR,\\KBMHIWAIFSV01,RICOH Aficio MP C7501 WOFH 1ST FLOOR,,,,,,
KBM,RICOH_WOFH_DESIGN,\\KBMHIWAIFSV01,RICOH Aficio C5000 WOFH DESIGN,,,,,,
GAN,HpDesignJet500.Estimation,\\GANQCMONFSV01,HpDesignJet500.Estimation,,,,,,
GAN,RicohAficio2045.Reception,\\GANQCMONFSV01,Ganotec Montreal,,,,,,
GAN,RicohAficioC2003.Atelier,\\GANQCMONFSV01,10.32.44.61,,,,,,
GAN,RicohAficioC4500.Estimation,\\GANQCMONFSV01,Ganotec Montreal,,,,,,
GAN,RicohAficioMp2500.Technique,\\GANQCMONFSV01,Ganotec Montreal,,,,,,
GAN,RicohAficioMp2550.Mugafab,\\GANQCMONFSV01,Ganotec Montreal,,,,,,
GAN,RicohAficioMp2852.Administration,\\GANQCMONFSV01,RicohAficioMp2852.Administration,,,,,,
GAN,RicohAficioMpC2051.Technique,\\GANQCMONFSV01,10.32.44.58,,,,,,
GAN,RicohAficioW2400.Administration,\\GANQCMONFSV01,Ganotec Montreal,,,,,,
NOC,NOCCAANTPTR01,\\NOCCAANTFSV01,HP Color LaserJet 3700   10.142.66.27 ,,,,,,
