District,Letter,Path,Comment,,,,
CCC,,\\CCCMNEDEFSV01\DDM,,,,,
CCC,,\\CCCMNEDEFSV01\icemc2,,,,,
CCC,,\\CCCMNEDEFSV01\Images,,,,,
CCC,,\\CCCMNEDEFSV01\OldCo,,,,,
CCC,,\\CCCMNEDEFSV01\PO,,,,,
CCC,,\\CCCMNEDEFSV01\Records,,,,,
CCC,,\\CCCMNEDEFSV01\Scripts,,,,,
CCC,,\\CCCMNEDEFSV01\USER,,,,,
CCC,,\\CCCMNEDEFSV01\Working,,,,,
KBM,,\\KBMWASEAFSV01\Data,,,,,
KBM,,\\KBMWASEAFSV01\IMSupport,,,,,
KBM,,\\KBMWASEAFSV01\Scan,,,,,
KBM,,\\KBMWASEAFSV01\Scripts,,,,,
KBM,,\\KBMWASEAFSV01\Users,,,,,
TUS,,\\TUSCABAKFSV01\Acct,,,,,
TUS,,\\TUSCABAKFSV01\Equip,,,,,
TUS,,\\TUSCABAKFSV01\Est,,,,,
TUS,,\\TUSCABAKFSV01\GS,,,,,
TUS,,\\TUSCABAKFSV01\HR,,,,,
TUS,,\\TUSCABAKFSV01\icemc2,,,,,
TUS,,\\TUSCABAKFSV01\OpsHead,,,,,
TUS,,\\TUSCABAKFSV01\Records,,,,,
TUS,,\\TUSCABAKFSV01\REMINST,RemoteInstallation,,,,
TUS,,\\TUSCABAKFSV01\Shared,,,,,
TUS,,\\TUSCABAKFSV01\Users,,,,,
KBM,,\\KBMHIWAIFSV01\IMSupport,,,,,
KBM,,\\KBMHIWAIFSV01\MOT,,,,,
KBM,,\\KBMHIWAIFSV01\Scripts,,,,,
KBM,,\\KBMHIWAIFSV01\Share,,,,,
KBM,,\\KBMHIWAIFSV01\Share.Kam,,,,,
KBM,,\\KBMHIWAIFSV01\Users,,,,,
GAN,,\\GANQCMONFSV01\Data,,,,,
GAN,,\\GANQCMONFSV01\F,,,,,
GAN,,\\GANQCMONFSV01\Imaging,,,,,
GAN,,\\GANQCMONFSV01\Transfer,,,,,
GAN,,\\GANQCMONFSV01\Usagers,,,,,
NOC,,\\NOCCAANTFSV01\CMS,,,,,
NOC,,\\NOCCAANTFSV01\Data,,,,,
NOC,,\\NOCCAANTFSV01\Records,,,,,
NOC,,\\NOCCAANTFSV01\Users,,,,,
NOC,,\\NOCCAANTFSV01\Users2,,,,,
TUS,,\\TUSCAAPBFSV01\Data,,,,,
TUS,,\\TUSCAAPBFSV01\DFSSoftware,,,,,
TUS,,\\TUSCAAPBFSV01\UpdateServicesPackages,A network share to be used by client systems for collecting all software  ,,,,
TUS,,\\TUSCAAPBFSV01\Users,,,,,
TUS,,\\TUSCAAPBFSV01\WsusContent,A network share to be used by Local Publishing to place published conten  ,,,,
TUS,,\\TUSCAAPBFSV01\WSUSTemp,A network share used by Local Publishing from a Remote WSUS Console Inst,,,,
MET,,\\METCALAVFSV01\Business,,,,,
MET,,\\METCALAVFSV01\LaVerne,,,,,
MET,,\\METCALAVFSV01LaVerne_Public,Public Folder for Industrial and Transportation,,,,
MET,,\\METCALAVFSV01\MIS,,,,,
MET,,\\METCALAVFSV01\Scanner,,,,,
MET,,\\METCALAVFSV01\Scripts,,,,,
CFA,,\\CFAIADAVFSV01\Applications,,,,,
CFA,,\\CFAIADAVFSV01\DavData,,,,,
CFA,,\\CFAIADAVFSV01\Records,,,,,
CFA,,\\CFAIADAVFSV01\Scripts,,,,,
CFA,,\\CFAIADAVFSV01\Users,,,,,
KBM,,\\KBMWA52BFSV01\IMSupport,,, , ,
KBM,,\\KBMWA52BFSV01\KGM Check Transfer,,,,,
KBM,,\\KBMWA52BFSV01\Scripts,,,,,
KBM,,\\KBMWA52BFSV01\Share,,,,,
KBM,,\\KBMWA52BFSV01\Users,,,,,
WCD,,\\WCDABMLSFSV01\Files,,,,,
KPD,,\\KPDKSLACFSV01\MDrive,,,,,
KPD,,\\KPDKSLACFSV01\SDrive,,,,,
KPD,,\\KPDKSLACFSV01\Transfers,,,,,
KPD,,\\KPDNJWECFSV01\C,,,,,
KPD,,\\KPDNJWECFSV01\Install,,,,,
KPD,,\\KPDNJWECFSV01\Install2,,,,,
KPD,,\\KPDNJWECFSV01\LOTODB,,,,,
KPD,,\\KPDNJWECFSV01\RickDotsonBkp,,,,,
KPD,,\\KPDNJWECFSV01\SPR_MODEL,,,,,
NOC,,\\NOCCABARFSV01\CMS,,,,,
NOC,,\\NOCCABARFSV01\Issued for Construction,,, ,,
NOC,,\\NOCCABARFSV01\NOCADMIN,,,,,
NOC,,\\NOCCABARFSV01\Share,,,,,
KEC,,\\KECABKEPFSV01\ChkTransfers,,,,,
KEC,,\\KECABKEPFSV01\CREW DATA,,,,,
KEC, ,\\KECABKEPFSV01\IT_Installs,,,,,
KEC,,\\KECABKEPFSV01\Shares,,, ,,
KEC,,\\KECABKEPFSV01\Transfer,,,,,
SOC,,\\SOCCACDPFSV01\kdrive,,,,,
SOC,,\\SOCCACDPFSV01\plant,,,,,
KBM,,\\KBMHIFPYFSV01\Share,,,,,
KBM,,\\KBMHIFPYFSV01\Users,,,,, 
KBM,,\\KBMWA52CFSV01\OriginalShareFolder,,,,,
KBM,,\\KBMWA52CFSV01\Scripts,,,,,
KBM,,\\KBMWA52CFSV01\Share,d: drive share folder,,,,
